Date,Price
30/10/2025,281.9
29/10/2025,275.17
28/10/2025,268.43
27/10/2025,269.93
24/10/2025,260.51
23/10/2025,253.73
22/10/2025,252.53
21/10/2025,251.34
20/10/2025,257.02
17/10/2025,253.79
16/10/2025,251.88
15/10/2025,251.71
14/10/2025,246.19
13/10/2025,244.64
10/10/2025,237.49
09/10/2025,242.21
08/10/2025,245.46
07/10/2025,247.13
06/10/2025,251.51
03/10/2025,246.45
02/10/2025,246.43
01/10/2025,245.54
30/09/2025,243.55
29/09/2025,244.36
26/09/2025,247.18
25/09/2025,246.57
24/09/2025,247.83
23/09/2025,252.34
22/09/2025,252.88
19/09/2025,255.24
18/09/2025,252.33
17/09/2025,249.85
16/09/2025,251.42
15/09/2025,251.76
12/09/2025,241.38
11/09/2025,240.78
10/09/2025,239.56
09/09/2025,239.94
08/09/2025,234.16
05/09/2025,235.17
04/09/2025,232.66
03/09/2025,231.1
02/09/2025,211.99
29/08/2025,213.53
28/08/2025,212.37
27/08/2025,208.21
26/08/2025,207.95
25/08/2025,209.16
22/08/2025,206.72
21/08/2025,200.62
20/08/2025,200.19
19/08/2025,202.49
18/08/2025,204.29
15/08/2025,204.91
14/08/2025,203.82
13/08/2025,203.03
12/08/2025,204.16
11/08/2025,201.63
08/08/2025,202.09
07/08/2025,197.28
06/08/2025,196.92
05/08/2025,195.32
04/08/2025,195.75
01/08/2025,189.95
31/07/2025,192.86
30/07/2025,197.44
29/07/2025,196.43
28/07/2025,193.42
25/07/2025,194.08
24/07/2025,193.2
23/07/2025,191.51
22/07/2025,192.11
21/07/2025,191.15
18/07/2025,185.94
17/07/2025,184.7
16/07/2025,183.77
15/07/2025,183.1
14/07/2025,182.81
11/07/2025,181.31
10/07/2025,178.7
09/07/2025,177.66
08/07/2025,175.16
07/07/2025,177.56
03/07/2025,180.55
02/07/2025,179.76
01/07/2025,176.91
30/06/2025,177.39
27/06/2025,178.27
26/06/2025,174.43
25/06/2025,171.49
24/06/2025,167.74
23/06/2025,166.01
20/06/2025,167.73
18/06/2025,173.98
17/06/2025,177.23
16/06/2025,177.94
13/06/2025,175.88
12/06/2025,176.97
11/06/2025,178.79
10/06/2025,180.01
09/06/2025,177.63
06/06/2025,174.92
05/06/2025,169.81
04/06/2025,169.39
03/06/2025,167.71
02/06/2025,170.37
30/05/2025,172.85
29/05/2025,172.96
28/05/2025,173.38
27/05/2025,173.98
23/05/2025,169.59
22/05/2025,171.98
21/05/2025,170.06
20/05/2025,165.32
19/05/2025,167.87
16/05/2025,167.43
15/05/2025,165.4
14/05/2025,166.81
13/05/2025,160.89
12/05/2025,159.58
09/05/2025,154.38
08/05/2025,155.75
07/05/2025,152.8
06/05/2025,165.2
05/05/2025,166.05
02/05/2025,165.81
01/05/2025,162.79
30/04/2025,160.89
29/04/2025,162.06
28/04/2025,162.42
25/04/2025,163.85
24/04/2025,161.47
23/04/2025,157.72
22/04/2025,153.9
21/04/2025,149.86
17/04/2025,153.36
16/04/2025,155.5
15/04/2025,158.68
14/04/2025,161.47
11/04/2025,159.4
10/04/2025,155.37
09/04/2025,161.06
08/04/2025,146.58
07/04/2025,149.24
04/04/2025,147.74
03/04/2025,152.63
02/04/2025,158.86
01/04/2025,158.88
31/03/2025,156.23
28/03/2025,156.06
27/03/2025,164.08
26/03/2025,167.14
25/03/2025,172.79
24/03/2025,169.93
21/03/2025,166.25
20/03/2025,165.05
19/03/2025,166.28
18/03/2025,162.67
17/03/2025,166.57
14/03/2025,167.62
13/03/2025,164.73
12/03/2025,169
11/03/2025,165.98
10/03/2025,167.81
07/03/2025,175.75
06/03/2025,174.21
05/03/2025,174.99
04/03/2025,172.61
03/03/2025,168.66
28/02/2025,172.22
27/02/2025,170.21
26/02/2025,174.7
25/02/2025,177.37
24/02/2025,181.19
21/02/2025,181.58
20/02/2025,186.64
19/02/2025,187.13
18/02/2025,185.8
14/02/2025,186.87
13/02/2025,187.88
12/02/2025,185.43
11/02/2025,187.07
10/02/2025,188.2
07/02/2025,187.14
06/02/2025,193.31
05/02/2025,193.3
